Timestamp,Defrost case 1,Always off,Ambient Dry Bulb Ta,Ambient Dry Bulb Tb,Ambient Wet Bulb,Ceiling Temp,Front Wall Temp,Right Wall Temp,Left Wall Temp,Rear Wall Temp,Discharge Air 2 in LE,Discharge Air 12 in LE,Discharge Air 24 in LE,Discharge Air Center,Discharge Air 24 in RE,Discharge Air 12in RE,Discharge Air 2 in RE,Secondary Air 2 in LE,Secondary Air 12 in LE,Secondary Air 24 in LE,Secondary Air Center,Secondary Air 24 in RE,Secondary Air 12in RE,Secondary Air 2 in RE,Return Air 2 in LE,Return Air 12 in LE,Return Air 24 in LE,Return Air Center,Return Air 24 in RE,Return Air 12in RE,Return Air 2 in RE,Left TXV Inlet,Into Left Distrubutor ,Left TXV Bulb,Coil Inlet 1,Coil Inlet 2,Coil Inlet 3,Coil Outlet 1,Coil Outlet 2,Coil Outlet 3,Right TXV Inlet ,Into Right Distributor ,Right TXV Bulb ,Right Coil Inlet 1,Right Coil Inlet 2,Right Coil Inlet 3,Right Coil Inlet 4,Right Coil Inlet 5,Right Coil Inlet 6,Air in left evap 6 in LE,Air in left evap 6 in RE,Air off left evap 6 in LE,Air off left evap 6 in RE,Air in right evap 6 in LE,Air in right evap 6 in RE,Air off right evap 6 in LE,Air off right evap 6 in RE,PS Top shelf LE Rear,PS Top shelf LE Front,PS Top shelf CTR Rear,PS Top shelf CTR Front,PS Top shelf RE Rear ,PS Top shelf RE Front,PS Second shelf LE Rear ,PS Second shelf LE Front,PS Second shelf CTR Rear,PS Second shelf CTR Front,PS Second shelf RE Rear ,PS Second shelf RE Front,PS Third shelf LE Rear ,PS Third shelf LE Front,PS Third shelf CTR Rear,PS Third shelf CTR Front,PS Third shelf RE Rear ,PS Third shelf RE Front,PS Fourth shelf LE Rear ,PS Fourth shelf LE Front,PS Fourth shelf CTR Rear,PS Fourth shelf CTR Front,PS Fourth shelf RE Rear ,PS Fourth shelf RE Front,PS BC LE Rear ,PS BC LE Front,PS BC CTR Rear,PS BC CTR Front,PS BC RE Rear ,PS BC RE Front,Water in HeatX,Water out  HeatX,Ref Temp in HeatX,Ref Temp out HeatX,Discharge line from Comp,Suction line into Comp,Suction Pressure,Discharge Pressure,Case Volts,Case Amps,Case Watts,Compressor Volts,Compressor Amps,Compressor Watts,Run Time,Left S.H.,Right S.H.,Evap,Liqcond,AVG Prod Temp,Total Case Watts,Total Compressor Watts
06/22/2026 13:11:12,0.000000,0.000000,74.019713,74.849018,64.818090,79.375169,77.365296,78.355885,75.281356,75.025849,35.440034,34.980780,34.955948,36.359564,33.745820,34.010909,36.563492,37.317237,37.211190,39.954262,36.411755,38.676633,38.632494,37.954206,39.652267,38.782887,37.798618,38.106098,39.484773,38.350760,39.952494,73.916291,35.527328,36.405553,25.766574,25.274242,26.263182,34.332207,34.617509,34.355727,69.635293,33.511040,37.182910,25.850181,25.810393,25.976628,36.842278,37.037350,37.340838,38.361038,38.642184,30.353405,30.418930,38.790861,38.945750,33.506327,32.683748,41.563443,48.579497,38.038214,42.178510,39.337626,42.747323,41.573038,45.672537,37.382315,41.799777,38.687919,43.220872,36.533199,41.988255,36.397321,41.446941,38.055479,43.159000,39.604592,42.690521,38.892730,40.621067,38.903320,42.253370,39.146796,42.007292,38.528141,40.895756,39.901708,42.361962,77.902376,81.081473,121.363279,82.397061,125.127375,52.042166,45.273112,132.140967,117.760002,2.843000,273.899994,117.050003,2.110000,172.899994,2865360.250853,12.627887,13.405244,23.777666,81.250771,40.805617,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:12:12,0.000000,0.000000,74.219188,74.851870,64.789766,79.352756,77.384112,78.333867,75.314554,75.008370,35.356481,34.877666,34.885205,36.343639,33.752492,33.998045,36.583285,37.157491,37.208746,39.947861,36.360619,38.771094,38.561435,38.025782,39.793646,38.844991,37.861541,38.124388,39.702307,38.227294,39.873808,76.760658,36.106921,36.464623,25.988293,25.508122,26.464261,34.465080,34.727713,34.491259,71.771056,33.776068,37.218008,26.027814,25.976856,26.199125,36.857229,37.029298,37.376121,38.399809,38.731507,30.156092,30.643737,38.803569,38.935952,33.416938,32.648530,41.552803,48.560193,38.046486,42.179708,39.339710,42.770217,41.570018,45.669094,37.371321,41.807378,38.673480,43.228020,36.531372,42.053693,36.379116,41.461357,38.025782,43.137188,39.582243,42.718324,38.876221,40.627050,38.863865,42.270275,39.115684,41.981493,38.523420,40.898533,39.868032,42.357827,83.119395,84.977603,121.572335,86.371684,126.030992,52.008703,45.637200,144.818992,117.879997,2.925000,284.399994,117.150002,2.184000,183.199997,2865420.248474,12.341009,13.094394,24.123614,87.278693,40.801330,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:13:12,0.000000,0.000000,74.214212,74.857882,64.725303,79.383453,77.377390,78.344404,75.331408,75.041281,35.434268,34.957716,34.964368,36.389884,33.746485,33.965400,36.538402,37.243975,37.209416,39.879338,36.396258,38.749677,38.492333,37.930128,39.868389,38.760515,37.889363,38.386693,39.575327,38.316043,39.959481,74.058326,35.628732,36.373619,25.787609,25.256374,26.301191,34.344756,34.646023,34.360288,69.661582,33.487427,37.189486,25.824642,25.853254,25.950113,36.842138,37.029691,37.351197,38.340476,38.665081,30.420656,30.501779,38.792929,38.960612,33.456430,32.689276,41.518331,48.553740,38.037298,42.172765,39.303194,42.729735,41.546188,45.656762,37.369030,41.790260,38.662475,43.201715,36.493397,41.992680,36.359282,41.456054,38.005437,43.137065,39.583882,42.670329,38.863842,40.616900,38.851045,42.261740,39.119026,41.947961,38.514025,40.886964,39.866687,42.332320,78.416030,81.339394,121.250226,82.654547,125.056670,52.026078,45.091263,134.148615,117.970001,2.852000,275.200012,117.269997,2.119000,174.300003,2865480.245550,12.769333,13.585200,23.604286,82.230140,40.783338,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:14:12,0.000000,0.000000,74.305434,74.848913,64.645673,79.387761,77.350116,78.355449,75.321357,75.054879,35.387276,34.889410,34.909366,36.344258,33.686939,34.006657,36.559321,37.322797,37.151030,39.998309,36.352864,38.656516,38.422101,38.036560,39.783001,39.096420,37.693711,38.161129,39.508846,38.256082,39.841699,77.023293,36.189341,36.413343,25.944221,25.441674,26.416184,34.368279,34.667763,34.368279,72.067987,33.782469,37.190063,25.971852,25.924022,26.109019,36.822011,37.018414,37.333032,38.356775,38.624165,30.302222,30.499241,38.794916,38.926859,33.397564,32.436608,41.501580,48.533031,38.010575,42.147937,39.309591,42.735158,41.530069,45.619720,37.324089,41.775984,38.650792,43.189659,36.486496,41.858340,36.348396,41.445066,38.006771,43.128900,39.569951,42.696418,38.865943,40.618996,38.854911,42.252136,39.107178,41.941103,38.516851,40.873935,39.867903,42.325185,83.211739,85.269706,121.750183,86.694400,126.133639,51.969760,45.681688,144.705810,117.910004,2.930000,284.600006,117.199997,2.187000,183.399994,2865540.243586,12.247565,13.024285,24.165778,87.226462,40.769755,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:15:12,0.000000,0.000000,73.920690,74.869236,64.807340,79.384506,77.356963,78.355136,75.341758,75.031360,35.375111,34.946861,34.908724,36.351590,33.692519,33.913670,36.484166,37.329511,37.165426,39.933774,36.377012,38.694283,38.603355,38.091141,39.651280,38.750123,37.708590,38.130066,39.590708,38.200291,39.893818,73.965290,35.469214,36.316958,25.784091,25.236305,26.293206,34.207792,34.573443,34.289900,69.644066,33.430912,37.170084,25.825592,25.830063,25.934104,36.829392,36.984217,37.333297,38.314208,38.646156,30.261130,30.713543,38.749761,38.941281,33.371209,32.653038,41.464896,48.535061,38.002914,42.143391,39.268422,42.735784,41.483634,45.611591,37.307034,41.783940,38.657455,43.164682,36.466293,41.882236,36.335715,41.448851,37.981858,43.124287,39.572812,42.661936,38.847502,40.598393,38.845737,42.253957,39.119153,41.927251,38.536933,40.850821,39.863148,42.322201,78.742852,81.247266,121.377447,82.546220,125.094714,52.143848,45.184913,134.766503,118.059998,2.857000,275.799988,117.379997,2.120000,174.699997,2865600.240660,12.623334,13.476460,23.693624,82.529606,40.759930,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:16:12,0.000000,0.000000,74.015534,74.885400,64.877992,79.384006,77.389318,78.357580,75.302207,75.045439,35.303812,34.898141,34.806781,36.346045,33.681182,33.930308,36.500648,37.172205,37.211474,39.927663,36.335904,38.786292,38.577078,37.990193,39.831232,38.919687,37.698719,38.220458,39.546912,38.236798,39.897223,76.936894,36.057382,36.392089,25.908807,25.441127,26.427703,34.381944,34.642386,34.425431,72.049005,33.778124,37.177523,25.994042,25.945318,26.151507,36.815845,36.989250,37.319435,38.365274,38.653580,30.172340,30.719702,38.787883,38.890704,33.334942,32.493656,41.473978,48.506483,37.999141,42.130408,39.265979,42.700766,41.483309,45.583262,37.308919,41.748631,38.618036,43.161038,36.434724,41.898359,36.297943,41.432051,37.965428,43.107540,39.531300,42.643423,38.828636,40.596742,38.790242,42.244055,39.080538,41.901248,38.493602,40.808055,39.833288,42.275295,82.328701,85.150998,121.683496,86.569793,126.062228,52.003188,45.588330,142.400714,117.690002,2.930000,284.399994,116.970001,2.185000,181.899994,2865660.238263,12.314818,13.100252,24.077271,86.156737,40.738081,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:17:12,0.000000,0.000000,73.834652,74.847935,64.833667,79.371494,77.365403,78.321070,75.298153,75.015196,35.310384,34.871899,34.831541,36.322833,33.680100,33.931891,36.470685,37.248395,37.139760,39.868973,36.329187,38.696947,38.386162,37.887506,39.707504,38.826269,37.838673,38.215919,39.478006,38.241533,39.821339,74.163002,35.623660,36.464601,25.810165,25.321428,26.248212,34.385646,34.717948,34.575106,69.635567,33.492224,37.159083,25.828776,25.784070,25.990800,36.793041,36.990336,37.290561,38.324074,38.627229,30.190306,30.527741,38.781464,38.897524,33.324924,32.601601,41.450531,48.489746,37.995880,42.099036,39.266251,42.679499,41.481804,45.543689,37.318459,41.738345,38.613007,43.129700,36.422796,41.784952,36.297081,41.423135,37.941011,43.104601,39.535403,42.637847,38.839382,40.620674,38.805843,42.251985,39.092910,41.880280,38.494620,40.819194,39.840935,42.277207,80.010986,81.893011,121.233305,83.334155,125.166078,52.003924,45.588135,138.125860,117.769997,2.882000,278.899994,117.050003,2.148000,177.699997,2865720.235627,12.387515,13.081997,24.077086,84.142046,40.729193,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:18:12,0.000000,0.000000,73.967512,74.838272,64.864076,79.370487,77.365657,78.335209,75.311826,75.030563,35.286581,34.833891,34.802401,36.291931,33.690846,33.926649,36.493760,37.059627,37.122645,39.895547,36.291249,38.684675,38.429518,37.931772,39.711090,38.550469,37.749068,38.357324,39.554820,38.166548,39.878253,76.224338,35.974108,36.390743,25.989104,25.482998,26.431559,34.353817,34.636006,34.387543,71.846217,33.694027,37.136873,25.964575,25.941777,26.171873,36.777606,36.961193,37.288683,38.317781,38.593583,30.213387,30.605195,38.765626,38.871539,33.363188,32.522321,41.432387,48.462595,37.981186,42.059364,39.224234,42.642713,41.460798,45.516224,37.293365,41.722179,38.607814,43.120146,36.388258,41.768670,36.285115,41.411010,37.921323,43.087394,39.537960,42.620191,38.823401,40.597683,38.776621,42.227372,39.093346,41.847659,38.498063,40.782128,39.821447,42.251187,80.465987,84.209166,121.921957,85.457041,126.406329,52.032155,45.445810,137.331318,117.779999,2.888000,279.100006,117.070000,2.148000,177.699997,2865780.232789,12.448787,13.194917,23.941956,83.763044,40.708728,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:19:12,0.000000,0.000000,73.981771,74.856741,64.866091,79.377405,77.385229,78.343398,75.316765,75.048175,35.304474,34.837602,34.866429,36.325663,33.645186,33.920521,36.457714,37.260198,37.266522,39.842822,36.332138,38.631353,38.503776,37.931859,39.693263,39.147778,37.824825,38.142453,39.466832,38.162329,39.886391,74.762178,35.724495,36.348454,25.747951,25.230117,26.228477,34.267761,34.588578,34.430626,69.851835,33.548123,37.136606,25.783700,25.788171,25.933817,36.780885,36.961817,37.291099,38.316662,38.615387,30.096765,30.514892,38.753008,38.884517,33.345597,32.480272,41.416756,48.481789,37.969265,42.070359,39.204833,42.651771,41.443918,45.524375,37.281703,41.705550,38.609660,43.117154,36.383059,41.809673,36.292754,41.413112,37.936687,43.084435,39.522643,42.600979,38.828467,40.613306,38.777716,42.220163,39.085228,41.847774,38.514072,40.782683,39.815929,42.236457,80.552225,82.284113,121.059892,83.839812,125.097048,51.877188,45.576940,139.264321,117.709999,2.891000,279.799988,117.010002,2.152000,178.800003,2865840.230927,12.281989,13.070141,24.066465,84.682588,40.708076,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
06/22/2026 13:20:12,0.000000,0.000000,74.109592,74.886849,64.771722,79.371028,77.401162,78.329019,75.296639,75.049583,35.282912,34.765022,34.753934,36.287230,33.630165,33.901953,36.459041,37.221286,37.013283,39.883527,36.301308,38.725007,38.519750,38.019852,39.620964,38.767438,37.699617,38.048658,39.546926,38.125515,39.799419,76.320980,35.896661,36.364686,26.069856,25.588823,26.509156,34.308209,34.608603,34.431131,71.993342,33.651408,37.155172,26.109566,26.043862,26.294527,36.786208,36.966255,37.281634,38.309859,38.589777,30.053512,30.565250,38.778620,38.855849,33.287402,32.287908,41.397663,48.456393,37.965626,42.064980,39.218402,42.630102,41.448169,45.500594,37.274922,41.679827,38.578541,43.081818,36.336080,41.846987,36.250197,41.373524,37.906206,43.044239,39.515339,42.575693,38.815232,40.575441,38.747709,42.207002,39.076427,41.802679,38.501019,40.731806,39.792573,42.226793,79.984226,84.202751,122.064855,85.411965,126.420280,51.977874,45.530115,136.116107,118.000000,2.874000,278.000000,117.300003,2.138000,177.000000,2865900.228271,12.342658,13.133144,24.022028,83.180559,40.687399,148621735339602888000000000000000000.000000,274976772116136397000000000000000000.000000
