Timestamp,Defrost case 1,Always off,Ambient Dry Bulb Ta,Ambient Dry Bulb Tb,Ambient Wet Bulb,Ceiling Temp,Front Wall Temp,Right Wall Temp,Left Wall Temp,Rear Wall Temp,Discharge Air 2 in LE,Discharge Air 12 in LE,Discharge Air Center,Discharge Air 12in RE,Discharge Air 2 in RE,Secondary Air 2 in LE,Secondary Air 12 in LE,Secondary Air Center,Secondary Air 12in RE,Secondary Air 2 in RE,Return Air 2 in LE,Return Air 12 in LE,Return Air Center,Return Air 12in RE,Return Air 2 in RE,Left TXV Inlet,Into Distrubutor ,TXV Bulb,Coil Inlet 1,Coil Inlet 2,Coil Inlet 3,Coil Outlet 1,Coil Outlet 2,Coil Outlet 3,Air in evap 6 in LE,Air in evap 6 in RE,Air off evap 6 in LE,Air off evap 6 in RE,PS Top shelf LE Rear,PS Top shelf LE Front,PS Top shelf RE Rear ,PS Top shelf RE Front,PS Second shelf LE Rear ,PS Second shelf LE Front,PS Second shelf RE Rear ,PS Second shelf RE Front,PS Third shelf LE Rear ,PS Third shelf LE Front,PS Third shelf RE Rear ,PS Third shelf RE Front,PS Fourth shelf LE Rear ,PS Fourth shelf LE Front,PS Fourth shelf RE Rear ,PS Fourth shelf RE Front,PS BC LE Rear ,PS BC LE Front,PS BC RE Rear ,PS BC RE Front,Water in HeatX,Water out  HeatX,Ref Temp in HeatX,Ref Temp out HeatX,Discharge line from Comp,Suction line into Comp,Suction Pressure,Discharge Pressure,Case Volts,Case Amps,Case Watts,Compressor Volts,Compressor Amps,Compressor Watts,Run Time,S.H.,Evap,Liqcond,AVG Prod Temp,Total Case Watts,Total Compressor Watts
06/22/2026 06:25:52,0.000000,0.000000,75.282223,75.030940,65.638819,75.603494,78.548073,73.001897,71.670496,74.914298,34.441807,29.960604,30.364050,30.252156,36.682560,36.784766,34.245454,34.591567,34.302466,36.166026,34.024599,34.663186,32.870808,33.236183,31.878449,64.331395,31.735786,36.469393,21.849374,21.767713,21.516622,30.476723,31.254381,31.458446,34.363836,34.357623,28.373286,28.725739,33.903032,36.902536,32.844411,37.199047,35.514642,37.763011,31.487252,36.424161,33.381094,36.521090,31.423664,36.138888,31.439580,33.788572,30.470775,33.112684,32.807280,34.492878,31.440595,33.232506,74.621229,80.225789,125.642245,76.596240,132.409401,56.490900,45.513151,139.502472,118.830000,2.100000,204.200000,117.650000,1.575000,134.400000,23381.578122,12.463471,24.005922,84.795291,34.014385,1299.864045,845.082539
06/22/2026 06:26:52,0.000000,0.000000,75.217407,74.984268,65.790220,75.591129,78.500835,72.961973,71.689273,74.915683,34.251386,29.694376,30.136662,29.972599,36.563931,36.624558,34.013948,34.424505,34.051638,36.126577,34.158620,34.368991,32.883222,33.123709,31.847029,70.846092,31.737547,37.779721,22.921106,22.864184,22.741975,30.457929,31.192372,31.315351,34.240696,34.230488,28.019163,28.445177,33.915998,36.911915,32.865169,37.196256,35.514828,37.763196,31.488776,36.432338,33.370641,36.512448,31.429139,36.135031,31.429965,33.763889,30.476310,33.121339,32.794596,34.496638,31.424239,33.228635,81.015908,86.125546,125.831348,83.433973,133.105494,56.186090,46.310111,154.545221,118.820000,2.184000,215.800000,117.450000,1.651000,145.100000,23441.576122,13.020826,24.758895,91.669092,34.013567,1303.392928,847.441989
06/22/2026 06:27:52,0.000000,0.000000,75.171434,74.922230,65.702732,75.507150,78.464260,72.893401,71.681283,74.894627,34.993471,30.841706,31.247215,31.331021,37.228749,37.035935,34.631530,35.049308,34.702537,36.392111,35.472660,35.963116,34.376924,33.816704,33.283571,70.900259,32.156691,38.502412,23.977097,23.918439,23.754527,31.140619,31.644982,31.940335,35.163310,35.263051,29.808459,30.276141,33.947254,36.910762,32.901073,37.203666,35.554588,37.814334,31.523852,36.486522,33.401485,36.549809,31.447536,36.164383,31.471279,33.805957,30.532796,33.149526,32.819682,34.519895,31.457784,33.276758,83.224920,88.566118,126.953650,85.349318,134.219888,56.353659,47.278465,159.853277,118.850000,2.211000,218.900000,117.540000,1.678000,148.500000,23501.574018,12.838481,25.663931,93.987568,34.046947,1307.008884,849.886903
06/22/2026 06:28:52,0.000000,0.000000,75.175729,74.956097,65.679743,75.537912,78.446957,72.917059,71.678444,74.906585,34.820449,30.522079,30.806429,30.840456,36.532060,36.722782,34.360454,34.782809,34.463342,36.273404,34.604873,34.974490,33.268136,33.510284,32.319176,69.982123,32.400750,37.307562,23.435863,23.405848,23.238393,31.175288,31.827990,32.282071,34.744919,34.796813,28.964434,29.163867,33.939950,36.933123,32.880866,37.227787,35.548629,37.818112,31.510286,36.481089,33.393809,36.557211,31.457284,36.179383,31.485782,33.836398,30.528585,33.174737,32.826229,34.523323,31.484016,33.281592,75.981425,81.480705,127.141415,75.583042,134.127654,56.616133,46.207080,139.512668,119.010000,2.110000,205.900000,117.530000,1.586000,135.500000,23561.573516,12.645594,24.661968,84.800114,34.053410,1310.596576,852.299160
06/22/2026 06:29:52,0.000000,0.000000,75.145092,74.943616,65.582556,75.502897,78.444877,72.880242,71.694772,74.897081,34.481685,30.020736,30.341261,30.338655,36.331173,36.817083,34.159916,34.553983,34.294866,36.160657,34.124871,35.038403,33.009530,33.401500,31.968113,69.776084,32.314503,37.647110,22.862353,22.759705,22.582552,30.947015,31.773077,32.230784,34.506188,34.520830,28.215222,28.604971,33.960007,36.942046,32.903213,37.216407,35.557327,37.810879,31.539526,36.488919,33.405668,36.557959,31.466312,36.175514,31.482498,33.822024,30.562740,33.179044,32.814976,34.525404,31.481905,33.307037,80.342434,85.503614,125.891998,83.328980,132.973146,56.462860,46.599782,155.085463,118.990000,2.180000,215.400000,117.390000,1.657000,145.200000,23621.572247,12.616361,25.030749,91.907477,34.059970,1314.073753,854.608140
06/22/2026 06:30:52,0.000000,0.000000,75.118298,74.888935,65.543924,75.481912,78.416392,72.824892,71.727891,74.893323,34.416792,29.952858,30.350511,30.235128,36.281484,36.607690,34.162350,34.457918,34.181577,36.044976,33.896564,34.454136,32.988529,33.248982,31.899729,72.307275,31.812439,38.808682,23.087425,23.040819,22.924669,30.570511,31.310710,31.173472,34.394095,34.392764,28.465294,28.658476,33.956863,36.930067,32.918486,37.217448,35.560168,37.792944,31.538818,36.494429,33.431193,36.563027,31.465498,36.183118,31.488028,33.850182,30.578077,33.179688,32.819623,34.533590,31.469953,33.288451,83.354694,88.471811,127.207180,85.516745,134.645096,56.655208,46.281561,158.584568,118.900000,2.200000,217.500000,117.210000,1.676000,147.200000,23681.571025,14.076633,24.732049,93.438165,34.062983,1317.692652,857.054146
06/22/2026 06:31:52,0.000000,0.000000,75.086236,74.849681,65.725483,75.460097,78.424102,72.811902,71.736012,74.898879,34.359186,29.872241,30.240934,30.121685,36.605267,36.570306,34.012650,34.343776,34.073348,35.934784,34.060030,34.453037,32.840720,33.164333,32.057715,71.261160,31.648200,37.206157,23.079508,22.968365,22.946385,30.383952,31.123767,31.163870,34.305925,34.240240,28.363693,28.521494,33.984387,36.951297,32.947810,37.236002,35.594732,37.789853,31.557532,36.493160,33.441470,36.554234,31.514643,36.197422,31.518326,33.851517,30.589668,33.183302,32.833020,34.539416,31.505287,33.289476,77.224815,82.337226,127.566949,76.524322,134.769915,56.731083,45.591226,139.635185,118.950000,2.113000,206.000000,117.570000,1.588000,135.300000,23741.569395,13.126139,24.080018,84.858041,34.078628,1321.290413,859.475661
06/22/2026 06:32:52,0.000000,0.000000,75.068923,74.823069,65.734029,75.438430,78.406296,72.802025,71.732880,74.889422,34.107910,29.468182,29.820902,29.752321,36.126998,36.444414,33.883190,34.206381,33.911678,35.800069,33.957411,34.045845,32.664432,33.070351,31.714943,65.907534,31.593143,36.499850,21.828204,21.738015,21.465466,30.244051,31.068581,31.422369,34.107258,34.084618,27.592562,27.914684,33.984532,36.949230,32.954000,37.224472,35.590306,37.808417,31.571349,36.521673,33.448768,36.575222,31.497972,36.199451,31.521450,33.849746,30.599033,33.197268,32.831876,34.564894,31.490398,33.326172,78.070976,83.225650,125.677710,81.111538,132.623013,56.291424,45.821467,150.273303,118.900000,2.151000,211.600000,117.430000,1.633000,141.600000,23801.567939,12.201746,24.298104,89.764165,34.085311,1324.712831,861.728913
06/22/2026 06:33:52,0.000000,0.000000,75.012163,74.844455,65.619833,75.419274,78.371218,72.797632,71.723377,74.896853,34.077726,29.446333,29.879313,29.750289,36.049260,36.425578,33.714706,34.051727,33.756260,35.734067,34.128776,34.097093,32.418220,33.085216,31.333394,71.191162,31.260487,37.729448,22.589491,22.504751,22.426688,30.009372,30.739067,30.550093,34.040511,33.946389,27.977661,28.322297,34.012626,36.945372,32.983132,37.216748,35.597921,37.800545,31.579896,36.514840,33.476562,36.564850,31.516972,36.199294,31.546928,33.840947,30.597779,33.188630,32.840573,34.542960,31.504497,33.291799,82.046767,87.177413,126.804134,84.064974,134.245504,56.313390,46.076762,154.998551,118.700000,2.184000,215.200000,117.510000,1.656000,145.400000,23861.565786,13.190254,24.539194,91.869164,34.088144,1328.295814,864.139105
06/22/2026 06:34:52,0.000000,0.000000,75.023438,74.815174,65.612441,75.413201,78.361800,72.783070,71.710704,74.877467,33.997940,29.355033,29.770645,29.621104,36.163186,36.207019,33.631669,33.991812,33.678663,35.632293,33.595159,34.640830,32.475732,32.935096,31.552173,72.854083,31.000549,38.538013,22.722485,22.630134,22.480575,29.805695,30.461027,30.269353,33.941780,33.877842,27.692241,28.021291,33.995559,36.938541,32.978079,37.227640,35.582484,37.831105,31.580413,36.544083,33.443275,36.604711,31.522683,36.230205,31.531406,33.865885,30.608993,33.206439,32.827267,34.574049,31.491941,33.329488,84.458105,89.571660,127.716045,86.769507,135.303373,56.451255,46.099971,160.364710,119.000000,2.218000,220.000000,117.640000,1.683000,149.100000,23921.564757,13.976939,24.561074,94.208212,34.095712,1331.918696,866.588980
