T_1a-lh,T_1b-lh,T_2a-LH,T_sat.lh,S.H_lh coil,D_coil lh,H_coil lh,S_coil lh,T_1a-ctr,T_1b-ctr,T_2a-CTR,T_sat.ctr,S.H_ctr coil,D_coil ctr,H_coil ctr,S_coil ctr,T_1a-rh,T_1b-rh,T_2a-RH,T_sat.rh,S.H_rh coil,D_coil rh,H_coil rh,S_coil rh,P_suction,T_2b,T_sat.comp.in,S.H_total,D_comp.in,H_comp.in,S_comp.in,T_3a,rpm,T_3b,P_disch,T_4a,T_sat.cond,S.C,T_waterin,T_waterout,T_4b-lh,T_sat.txv.lh,S.C-txv.lh,H_txv.lh,T_4b-ctr,T_sat.txv.ctr,S.C-txv.ctr,H_txv.ctr,T_4b-rh,T_sat.txv.rh,S.C-txv.rh,H_txv.rh,m_dot,qc
,24.882994999999998,,,,,,,,,,,,,,,,,,,,,,,43.392919,41.610522,22.228524977119843,19.381997022880192,8.336000925050948,587.1336015105267,2.445707654212188,121.802469,,123.108025,151.864372,87.20858,90.59847435242084,3.3898943524207765,86.874124,83.062481,71.913289,90.59847435242084,18.685185352420728,257.48965051288866,72.194656,90.59847435242084,18.40381835242092,257.90884116303897,71.033298,90.59847435242084,19.56517635242084,256.18031681967284,-97.66756987096593,-13853.313833633107
,24.973110833333333,,,,,,,,,,,,,,,,,,,,,,,43.605236,41.734908,22.434619158219448,19.300288841780663,8.366820143669301,587.1943394569724,2.4452963894303874,120.897078,,121.884518,147.882144,85.805184,88.80487123631363,2.9996872363135707,85.13956,82.24473,70.454313,88.80487123631363,18.350558236313542,255.31646679287684,70.72381,88.80487123631363,18.08106123631351,255.7167741203223,69.618897,88.80487123631363,19.18597423631361,254.07707172684985,-73.75907075537836,-10532.392485758659
,25.005413166666667,,,,,,,,,,,,,,,,,,,,,,,44.580891,41.829736,23.374524911303773,18.45521108869617,8.519255244790436,587.0198944586525,2.441810156875203,122.427646,,123.616999,142.668166,86.505958,86.40720812401881,-0.09874987598118423,88.431364,80.732822,74.570361,86.40720812401881,11.836847124018698,261.45453466424044,74.622161,86.40720812401881,11.78504712401865,261.5322126430536,73.530594,86.40720812401881,12.876614124018715,259.89729518552474,-1745.3726348738535,-244653.36668346953
,25.05935066666667,,,,,,,,,,,,,,,,,,,,,,,44.704366,41.993119,23.49264899190458,18.500470008095512,8.535137801878433,587.1419945523847,2.4418900508964074,121.855041,,122.616535,133.521809,83.11777,82.05682629975645,-1.060943700243581,86.053914,77.165681,73.42704,82.05682629975645,8.629786299756438,259.7371546675672,73.458844,82.05682629975645,8.597982299756382,259.7847536268344,72.398881,82.05682629975645,9.657945299756364,258.2002525691771,-1897.591441636662,-267493.51798565645
,25.106135500000004,,,,,,,,,,,,,,,,,,,,,,,44.00791,42.208535,22.82395386317669,19.384581136823385,8.41996355606176,587.5359044814011,2.4453350955489905,121.004759,,121.70522,134.991959,81.657124,82.76910941303878,1.111985413038724,83.797927,77.630329,71.161426,82.76910941303878,11.607683413038808,256.35646964457624,71.409,82.76910941303878,11.36010941303864,256.72513454378816,70.240937,82.76910941303878,12.528172413038714,254.98756143071668,-153.20284927069804,-21834.067752569114
,25.0649875,,,,,,,,,,,,,,,,,,,,,,,43.675954,42.317782,22.50313980761223,19.81464219238784,8.365085852517733,587.7295561685214,2.4470075493696295,121.115701,,122.056019,143.012754,84.457257,86.56744800219383,2.1101910021937895,84.724946,80.587863,70.523616,86.56744800219383,16.043832002193756,255.4148767082806,70.829166,86.56744800219383,15.738282002193717,255.86898522102382,69.711585,86.56744800219383,16.855863002193825,254.20953766080578,-104.42787960679112,-14930.025964427214
,25.030910666666667,,,,,,,,,,,,,,,,,,,,,,,43.753673,42.295112,22.57837232899085,19.71673967100919,8.377859946080354,587.6870045046891,2.4466254395380576,121.722851,,122.778029,145.891774,85.895477,87.89632949113027,2.0008524911302628,86.159145,81.717597,71.771848,87.89632949113027,16.124481491130258,257.27422642551977,72.030874,87.89632949113027,15.865455491130216,257.66017032677627,70.88569,87.89632949113027,17.010639491130213,255.95556778683908,-112.77949066428181,-16034.774978065754
,24.975520833333334,,,,,,,,,,,,,,,,,,,,,,,43.994018,42.278998,22.81055538442131,19.46844261557876,8.416195092412881,587.6067266771465,2.445629888396222,122.057578,,123.477829,151.118086,86.917705,90.26475371792671,3.347048717926623,87.332385,83.041663,72.918847,90.26475371792671,17.345906717926663,258.9884807955902,73.018321,90.26475371792671,17.24643271792662,259.1369961497664,71.962049,90.26475371792671,18.30270471792668,257.56168397508594,-109.66679798563842,-15513.044302244805
,24.901903166666667,,,,,,,,,,,,,,,,,,,,,,,44.900752,42.428637,23.680146724925386,18.74849027507461,8.556377890874703,587.5037976616106,2.442619395525479,122.471579,,123.75106,148.35312,87.239912,89.01866484597346,1.7787528459733153,88.127807,82.155377,73.667135,89.01866484597346,15.351529845973436,260.1048609778672,73.790804,89.01866484597346,15.227860845973293,260.2898594966538,72.685598,89.01866484597346,16.33306684597344,258.6384181355053,-152.3930122527507,-21477.118118804046
,24.9679335,,,,,,,,,,,,,,,,,,,,,,,45.586918,42.325555,24.33165261476796,17.993902385232126,8.66770544276921,587.2191277578337,2.4396291636718352,122.455713,,123.895267,141.761676,86.220027,85.9844429996016,-0.2355840003984099,88.306934,80.270661,74.401698,85.9844429996016,11.582744999601607,261.2012424537069,74.497598,85.9844429996016,11.486844999601578,261.3450128848659,73.3358,85.9844429996016,12.648642999601577,259.6054252204677,-1809.0133525737742,-253918.84367250398
,25.03197883333333,,,,,,,,,,,,,,,,,,,,,,,44.266178,42.271879,23.072615938415574,19.199263061584567,8.459402285636436,587.526327636485,2.4445440722885254,122.395578,,123.457141,136.294723,84.333392,83.3960248150062,-0.9373671849939456,87.172176,78.313189,74.031442,83.3960248150062,9.364582815006155,260.64368522068247,74.156013,83.3960248150062,9.240011815006175,260.830363573146,72.997762,83.3960248150062,10.398262815006092,259.09671663610237,-1916.2510534090052,-269658.25449616596
,25.110226833333332,,,,,,,,,,,,,,,,,,,,,,,43.953021,42.29306,22.77100099080126,19.52205900919885,8.409401254045552,587.6311927282247,2.4458381092445505,121.189385,,121.944483,135.900008,82.091803,83.20650000832782,1.1146970083278689,83.872784,78.29291,71.164352,83.20650000832782,12.042148008327842,256.3615681509744,71.431839,83.20650000832782,11.774661008327746,256.7598705558374,70.256152,83.20650000832782,12.95034800832774,255.01099777128024,-138.8478290105009,-19792.656889598147
,24.971719166666663,,,,,,,,,,,,,,,,,,,,,,,43.713165,42.436935,22.539169653159696,19.897765346840323,8.368323720994226,587.8328718255135,2.4472680269113476,122.128674,,123.449058,148.23965,86.77541,88.96719794340565,2.191787943405518,87.283698,82.430108,72.85066,88.96719794340565,16.116537943405557,258.88471834188937,72.996743,88.96719794340565,15.970454943405695,259.10284622020123,71.903145,88.96719794340565,17.064052943405546,257.47166475015695,-123.72532555780624,-17517.77939296218
,25.009860833333335,,,,,,,,,,,,,,,,,,,,,,,43.454748,42.156615,22.288599910019762,19.86801508998036,8.333725893085923,587.6359937374814,2.4473271082942083,121.4454,,122.62626,149.146437,86.346994,89.37776147596239,3.0307674759622385,85.920164,82.483767,71.009033,89.37776147596239,18.368728475962335,256.14182221398676,71.20048,89.37776147596239,18.177281475962275,256.42649644704477,70.130217,89.37776147596239,19.24754447596238,254.83661493540257,-87.67806864502391,-12507.76632532817
,25.051473333333334,,,,,,,,,,,,,,,,,,,,,,,44.270016,42.183733,23.07630504085023,19.10742795914981,8.46198934432739,587.4413543251553,2.4442281081070703,120.816451,,121.639199,145.01839,84.342757,87.49505362992424,3.1522966299242396,84.142069,81.123952,69.965751,87.49505362992424,17.52930262992421,254.58854118384312,70.241875,87.49505362992424,17.25317862992423,254.99833428328606,69.116821,87.49505362992424,18.378232629924195,253.3302196124493,-76.31196668981185,-10929.019721213157
,25.130587000000002,,,,,,,,,,,,,,,,,,,,,,,44.149795,42.158411,22.96066269374297,19.197748306257086,8.44352924241805,587.4497978348788,2.4446101216719596,121.315933,,122.259304,146.29133,85.541683,88.07937288002681,2.5376898800268237,85.475742,81.52002,71.073038,88.07937288002681,17.006334880026703,256.2344821171084,71.364067,88.07937288002681,16.71530588002677,256.66743140626676,70.257347,88.07937288002681,17.82202588002674,255.02251956936271,-100.44629653746634,-14313.707428801561
,25.013465333333333,,,,,,,,,,,,,,,,,,,,,,,43.872776,42.248607,22.693519760407572,19.555087239592456,8.397708561857119,587.6105774313174,2.446000280139462,121.465979,,122.691466,146.424812,85.834233,88.14044914634353,2.3062161463434565,86.0644,81.479423,71.748393,88.14044914634353,16.392056146343464,257.2397141615723,71.908286,88.14044914634353,16.232163146343442,257.4779030794718,70.812876,88.14044914634353,17.327573146343422,255.84781085069224,-116.52331636477481,-16568.65559716528
,24.9376225,,,,,,,,,,,,,,,,,,,,,,,43.805404,42.376325,22.62840681574945,19.747918184250693,8.38422873283454,587.7503079080604,2.4466998278678687,121.787709,,123.011334,148.108984,86.303221,88.90789889617017,2.604677896170108,86.74763,82.31162,72.430656,88.90789889617017,16.477242896170015,258.25788606091453,72.537559,88.90789889617017,16.370339896170073,258.4173534042415,71.451354,88.90789889617017,17.456544896170136,256.7988518457983,-112.96644713250988,-16022.59829794978
,24.9101695,,,,,,,,,,,,,,,,,,,,,,,43.532759,42.395242,22.364329613605776,20.030912386394256,8.34077823869414,587.8418705489406,2.4478340425111584,122.184398,,123.475636,151.16995,87.320277,90.2879815144312,2.967704514431216,87.67065,83.374911,73.284431,90.2879815144312,17.00355051443112,259.5344989914127,73.323964,90.2879815144312,16.9640175144311,259.5935669424088,72.221032,90.2879815144312,18.066949514431155,257.94761968779204,-109.94248217555979,-15541.279563525279
,24.949640666666667,,,,,,,,,,,,,,,,,,,,,,,44.335057,42.458813,23.138795443913363,19.320017556086736,8.46610318166589,587.6857214330149,2.4449143614680153,122.388554,,123.911895,146.711209,87.129835,88.271368602748,1.1415336027479612,88.360415,81.692045,74.057948,88.271368602748,14.213420602748021,260.6887755880759,74.003036,88.271368602748,14.268332602747922,260.6065644649822,72.974727,88.271368602748,15.296641602747979,259.06895229883764,-169.9408393751753,-23931.050060910133
,25.014055666666668,,,,,,,,,,,,,,,,,,,,,,,44.285171,42.328892,23.090870338963235,19.238021661036747,8.461127857754407,587.5754798389376,2.4446648217865574,122.349019,,123.509348,137.039853,84.680859,83.75281670597083,-0.9280422940292624,87.353951,78.687804,74.031033,83.75281670597083,9.721783705970699,260.64344396124847,74.123292,83.75281670597083,9.629524705970653,260.781687194833,72.93209,83.75281670597083,10.820726705970833,258.99902444555363,-1891.8181283662127,-266299.73053969006
,25.059951333333334,,,,,,,,,,,,,,,,,,,,,,,44.429922,42.255495,23.229848033125336,19.025646966874795,8.485693185743052,587.4663876218208,2.4438512634619802,122.140713,,123.075585,133.07541,83.248724,81.83952340745364,-1.4092005925463809,86.286054,77.252367,73.510709,81.83952340745364,8.328814407453626,259.86214085441344,73.614802,81.83952340745364,8.224721407453615,260.0179785453531,72.39088,81.83952340745364,9.44864340745362,258.1880065136292,-1922.6362724382066,-271196.7626362173
,25.106154,,,,,,,,,,,,,,,,,,,,,,,46.210216,42.350498,24.91867915834739,17.43181884165268,8.766364366552187,587.0731935725229,2.4373381818454023,121.293532,,122.025931,131.357628,81.400188,80.99880962491667,-0.4013783750834591,84.13791,76.539536,71.737509,80.99880962491667,9.261300624916647,257.21193034452153,71.889907,80.99880962491667,9.108902624916562,257.4392012944,70.703654,80.99880962491667,10.295155624916685,255.67221570044487,-1580.3459278957266,-224401.8999644791
,25.056054,,,,,,,,,,,,,,,,,,,,,,,43.798215,42.604518,22.62145555902466,19.983062440975335,8.378036279853111,587.9693990874733,2.447506361796696,121.297233,,122.094397,139.19384,82.90411,84.77704934430557,1.8729393443055187,83.816416,79.269471,70.349377,84.77704934430557,14.427672344305416,255.15251691807444,70.640341,84.77704934430557,14.136708344305589,255.58489211587505,69.503267,84.77704934430557,15.27378234430546,253.8967820712608,-113.70957741375884,-16282.7526768669
,24.97354633333333,,,,,,,,,,,,,,,,,,,,,,,43.647441,42.430081,22.475520240014873,19.954560759985192,8.358103102693786,587.8440806765533,2.447502454468556,121.434718,,122.415796,142.710636,84.674724,86.42697134054848,1.7522473405483425,84.863667,80.624445,70.511916,86.42697134054848,15.91505534054843,255.3972171739369,70.760259,86.42697134054848,15.666712340548532,255.7662794600291,69.614745,86.42697134054848,16.81222634054841,254.06563201291087,-106.97802528170409,-15303.937834134898
,24.92873883333333,,,,,,,,,,,,,,,,,,,,,,,44.100784,42.451895,22.913467586470052,19.53842741353002,8.429213396694585,587.7424586567386,2.445803185858898,121.374039,,122.62275,145.337717,85.086723,87.64195411617284,2.5552311161728425,85.301938,80.979305,70.915345,87.64195411617284,16.726609116172845,255.99916390945302,71.222519,87.64195411617284,16.41943511617278,256.4560099029088,70.093831,87.64195411617284,17.548123116172814,254.77890232956136,-109.46904440638713,-15624.061302163744
,24.865432666666667,,,,,,,,,,,,,,,,,,,,,,,43.767468,42.346638,22.591718161366327,19.754919838633704,8.378896316932124,587.7323030339535,2.446747161575057,121.842384,,123.014945,145.679893,85.787556,87.79912791370823,2.011571913708076,86.017315,81.759454,71.66595,87.79912791370823,16.13317791370813,257.11633513862466,71.899484,87.79912791370823,15.899643913708223,257.4642087271642,70.772705,87.79912791370823,17.02642291370813,255.78743642565613,-108.01194023411946,-15367.116399433102
,24.811956,,,,,,,,,,,,,,,,,,,,,,,43.364011,42.329797,22.20042067207653,20.12937632792359,8.31560382537286,587.8251345844571,2.4482749336236824,122.160782,,123.390165,150.058575,86.456666,89.78907344089863,3.332407440898578,86.712929,82.520048,72.359516,89.78907344089863,17.429557440898577,258.1532299188982,72.48997,89.78907344089863,17.299103440898513,258.3477738427578,71.351022,89.78907344089863,18.43805144089863,256.6512098743496,-106.85065965391043,-15163.531123088967
,24.7870995,,,,,,,,,,,,,,,,,,,,,,,42.91436,42.392603,21.76191670115702,20.630686298843056,8.243400593556943,588.0059159812683,2.450265679563692,122.367045,,123.684133,150.728797,87.183684,90.09023691024134,2.9065529102412144,87.413902,83.361634,73.034049,90.09023691024134,17.056187910241306,259.16021975605764,73.010418,90.09023691024134,17.079818910241293,259.1249331730158,71.934815,90.09023691024134,18.155421910241216,257.5208081438755,-103.56238156331904,-14665.5464274735
,24.726446,,,,,,,,,,,,,,,,,,,,,,,43.675372,42.519262,22.50257614504194,20.016685854958062,8.360540036188025,587.9213927763874,2.4476970086597793,122.693926,,124.031132,148.814189,87.608089,89.22752392406053,1.6194349240605106,88.178739,83.143157,73.611933,89.22752392406053,15.61559092406045,260.02257544413396,73.600286,89.22752392406053,15.627237924060443,260.0051580256209,72.529435,89.22752392406053,16.698088924060492,258.4057400012313,-128.63668380617344,-18163.228330823396
,24.77048016666667,,,,,,,,,,,,,,,,,,,,,,,44.091603,42.372767,22.904623477094116,19.468143522905905,8.429529483459216,587.6696058639806,2.4455689258010396,122.842668,,124.133759,144.564996,86.826219,87.28610830467842,0.4598893046783246,88.380353,81.295863,74.096905,87.28610830467842,13.189203304678301,260.74597126676287,74.13677,87.28610830467842,13.149338304678338,260.80567665241693,73.005083,87.28610830467842,14.281025304678337,259.1128887282135,-179.82018168687082,-25313.275370350082
,24.871276833333336,,,,,,,,,,,,,,,,,,,,,,,44.383631,42.44055,23.185431024010562,19.255118975989433,8.474198758729168,587.6551879661506,2.444663163464239,122.759515,,123.882155,137.782953,85.142319,84.10736090582262,-1.0349580941775003,87.674992,79.144923,74.16452,84.10736090582262,9.942840905822607,260.8438351827354,74.254404,84.10736090582262,9.852956905822566,260.978553230578,73.027882,84.10736090582262,11.079478905822521,259.1426574176316,-1862.549945314093,-262099.28410854904
,24.929055166666668,,,,,,,,,,,,,,,,,,,,,,,43.944715,42.184635,22.76298474371497,19.421650256285112,8.410504140350131,587.5302510652213,2.4455005223909208,122.171059,,123.210133,134.102272,83.396289,82.33867443217216,-1.057614567827875,86.331588,77.384314,73.684057,82.33867443217216,8.65461743217212,260.12222117925035,73.742196,82.33867443217216,8.596478432172114,260.20928449592543,72.544831,82.33867443217216,9.793843432172116,258.4185808290334,-1906.6132186789034,-268802.6587729107
,24.943821,,,,,,,,,,,,,,,,,,,,,,,44.150378,42.317059,22.96122391620322,19.35583508379683,8.440069054119371,587.6006773764896,2.445149515807338,121.688763,,122.702781,130.310366,81.864976,80.48269985210764,-1.3822761478924235,85.04016,76.082765,72.587425,80.48269985210764,7.895274852107605,258.4797476155718,72.78789,80.48269985210764,7.694809852107596,258.77932255600905,71.522995,80.48269985210764,8.959704852107667,256.8913634134074,-1870.0383178743778,-264935.3861514404
